Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE2-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE3-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE4-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE5-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE1-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE2-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE3-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE4-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE5-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),PLENUM-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE1-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE2-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE3-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE4-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE5-1:Zone Windows Total Heat Gain Energy [J](Hourly),WF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WR-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WL-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WALL-1PF:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PR:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PB:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PL:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),TOP-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),FRONT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),RIGHT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),BACK-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),LEFT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly) 
 06/01  01:00:00,16.300000000000004,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.905932175392746,20.428534079865365,20.468291484975307,20.414025780816477,20.603428785503432,21.140233298617506 
 06/01  02:00:00,18.162499999999998,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.307594957126927,20.466349277715672,20.473919240444637,20.455533971326982,20.55159468757846,20.964036785862103 
 06/01  03:00:00,18.2,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.948842371716296,20.451278180052128,20.45785763096315,20.443554969236587,20.502615715883536,20.856063102734407 
 06/01  04:00:00,18.2625,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.739766803340427,20.436112497063124,20.44441939766669,20.430358293295743,20.470226756949547,20.78067437582844 
 06/01  05:00:00,17.9875,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,31085.51671857553,46949.50945648616,11995.737368664937,0.0,135761.22479311173,55543.67549392834,187855.21257197522,376835.8462245804,91031.17891082208,152437.48528221296,385959.4124709731,243735.6716475326,538156.5300859552,197739.58798738237,16345562.631296143,894257.0335324713,731207.0149425975,1539480.565573757,593218.7639621468,20.59960330942185,20.42684152283672,20.454101945205018,20.442946133114674,20.463420090407965,20.72843117546871 
 06/01  06:00:00,16.737500000000004,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,312794.15675063187,563330.0872831605,235462.12484877225,0.0,504151.21224363835,205817.11073590783,635047.2277526523,1161904.995553893,280949.3506601458,563599.200311474,1426976.333355126,821897.0924383581,1669744.2626073179,731092.3127161624,60348653.36848375,3309440.2679453464,2465691.2773150736,4776563.505327492,2193276.9381484864,20.514643270903996,20.423837337956375,20.52834297069061,20.511095326017543,20.518479773777322,20.70111012617486 
 06/01  07:00:00,15.787500000000001,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,420409.24886047316,1909747.6266917791,3457846.5744096944,864885.3611883499,0.0,1236450.8759884306,486388.4030985021,2254339.291362061,3595816.4126079828,869721.463677032,1288323.9309356094,3264606.3484961875,2856163.158421994,5186941.016930226,1671194.2133252826,154902163.61174655,7689957.829149683,8568489.475265978,14838052.581218434,5013582.639975846,20.817336978463356,22.148206496245265,22.159420616850262,22.156134680127245,22.157901535863516,22.10644235567753 
 06/01  08:00:00,16.287499999999998,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,2764236.9350917973,8471072.214498248,11432649.709983487,2061728.5880300042,0.0,2866851.3523333864,1014664.3827934051,8353181.404477727,9378359.219402494,2315801.383810457,2413889.7330052564,6136250.063301751,10328464.37980612,14493760.73160284,3131261.056739092,412249093.740191,15229515.333174687,30985393.13941835,41461659.7977819,9393783.17021727,21.208724397771135,22.199415041913998,22.19982352133149,22.199937847408346,22.199124937447476,22.20054022548094 
 06/01  09:00:00,18.074999999999996,5132160.000000001,2216160.0,5132160.000000001,2216160.0,9603360.0,1520640.0000000002,656640.0,1520640.0000000002,656640.0,2845440.0000000005,0.0,4337089.176525184,14466103.902888753,10842112.600903379,2290819.973550827,0.0,3790867.827574065,1198211.9596092976,13845056.028548507,8552386.079950111,2224116.347724789,2503514.540996489,6408798.472552528,17040932.664883297,16428953.981073687,3247520.9948561788,707568757.3915341,17040883.134910375,51122797.99464987,46997581.4704485,9742562.984568534,22.44698315242053,22.708644725574477,23.683859113667374,23.62407052535591,22.200906072016245,23.01920295968406 
 06/01  10:00:00,19.5875,5417280.0,2339280.0,5417280.0,2339280.0,10136879.999999998,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5170252.83444546,13327901.328647198,6332142.804428439,2625705.9448627196,0.0,4284146.66928027,1332388.590305693,12691850.971922006,5404830.809820315,1347845.418859436,2739651.1682868763,7143322.2469390305,16388950.870453034,9852866.200248886,3553833.837151404,882845427.729352,19013636.43151597,49166852.61135909,28185658.228580836,10661501.511454208,23.851083070719937,23.827088475900556,23.89892893510808,23.898805036947294,22.930440833235558,23.88240129004643 
 06/01  11:00:00,20.6875,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5589028.571397201,9411149.142954461,5796227.069134903,2685264.0342396805,0.0,4429324.508828674,1420437.0712854373,8942944.086533504,4980015.496064412,1205604.708205422,2762636.333583178,12255451.80421835,13018055.424270427,7190876.331846839,3583649.8440679326,961779161.6008394,25756109.029385317,39054166.272811264,20570621.63782415,10750949.532203794,25.009249575180547,23.89810198918373,23.898642882692272,23.898213900597582,23.51784917191509,23.897876574429027 
 06/01  12:00:00,21.787499999999998,5417280.0,2339280.0,5417280.0,2339280.0,10136879.999999998,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5937588.297541322,5106268.34095244,6198144.877112867,2818193.082988157,0.0,4516173.689036755,1440986.740588892,4882067.876003236,5099709.993947333,1234581.3751069552,2829036.201021878,18410218.145449612,8419653.885083446,7363708.79242026,3669782.742452064,948930678.8203732,33840471.69523581,25258961.655250337,21065035.807825167,11009348.227356186,25.900149752952444,23.898288768403802,23.89883116132271,23.898374300566953,23.75274032059583,23.898060145727598 
 06/01  13:00:00,22.8875,4561920.0,1969920.0000000002,4561920.0,1969920.0000000002,8536320.000000002,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5690663.04921974,2821708.8876740816,6081520.893514989,2914569.0066838386,0.0,4206043.308247091,1309591.7580875107,2796445.6004327973,4832618.833516072,1169921.6645517468,2822388.4508733517,20476054.692720614,3968097.773818594,6978043.425413174,4057517.523353942,804871809.0018437,35601430.441145115,11904293.321455779,19961779.96286227,12172552.570061823,26.50081024153122,23.89857480776709,23.898735448746862,23.898601555164152,23.603137317818792,23.898453277664274 
 06/01  14:00:00,23.3,5132160.000000001,2216160.0,5132160.000000001,2216160.0,9603360.0,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,6446325.2600169275,2986417.2979890327,6734710.465325845,5682547.063428602,0.0,4461944.384322851,1604245.4640492178,2892635.689597956,5214356.440459473,1262335.9665943286,5211425.719101896,25493285.100494828,3752283.0319573595,7529252.136493388,8669693.717020605,857929149.041805,42205486.783969745,11256849.095872076,21538598.32488682,26009081.151061807,26.861857687458947,23.898885747151773,23.899102331719533,23.898913218554082,23.889373583677454,23.89853250362152 
 06/01  15:00:00,23.674999999999997,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,3041280.0000000005,1313280.0,3041280.0000000005,1313280.0,5690880.000000001,0.0,6721975.579661726,2697255.9475992643,6065528.05783006,10459564.323020622,0.0,4001694.517290913,2181064.838414319,2590603.8937857565,4669904.387482218,1130530.360973178,9629075.742016496,26642055.515016478,3360491.9790386837,6743092.457939463,13434207.782021299,803101687.6656227,42217506.07637726,10081475.937116047,19289666.12967928,40302623.34606388,27.099536007329455,23.898618424325328,23.898735290028963,23.898653341318333,23.898469668467573,23.89834607804507 
 06/01  16:00:00,24.5875,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,2661119.9999999995,1149120.0,2661119.9999999995,1149120.0,4979519.999999999,0.0,6726142.156891463,2313045.6047113137,5213529.655698041,14225666.784826947,0.0,3291599.9079559734,2626431.3229207057,2168179.792586183,3908429.362951408,946185.9798200094,13182102.862493262,22991023.68267919,2812529.8582223896,5643563.202354137,16258025.922650699,623958165.5347643,39227421.70004664,8437589.574667165,16144291.455914702,48774077.76795208,27.287667537210908,23.898378214101598,23.898489632436323,23.89842390335971,23.898501811538676,23.898154494718305 
 06/01  17:00:00,24.3125,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,1900800.0,820800.0,1900800.0,820800.0,3556800.0,0.0,5244723.759168897,1652398.609686329,3698315.932691398,15864512.395553194,0.0,2377059.2255834835,2252951.0311611826,1586411.978164359,2859716.3290594365,692304.5667569926,14861296.973674055,17217140.44766204,2057869.4955490187,4129277.606200335,17397090.318863943,429724216.7517734,31353697.011234578,6173608.486647055,11812441.676753415,52191270.9565918,27.454088643033042,23.898182000350985,23.89212918166735,23.89824266000629,23.898193854094238,23.89798785309589 
 06/01  18:00:00,23.2125,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,1900800.0,820800.0,1900800.0,820800.0,3556800.0,0.0,2636171.563950743,897691.3491572597,1933435.1102105991,14747369.014358649,0.0,1459711.3167021775,1122935.9188915086,983636.1764270839,1773133.6338225063,429255.34245890885,13977396.915631408,10138193.415289663,1275957.8911714787,2560310.2421532953,16058003.876714814,239814410.8592927,19857576.634393603,3827873.6735144337,7324166.184520491,48174011.63014442,27.474573632838062,23.89842417964932,23.703118385265615,23.898417450216364,23.898679344476168,23.897974122389783 
 06/01  19:00:00,21.425000000000004,3421440.0,1477440.0,3421440.0,1477440.0,6402239.999999999,1140480.0,492479.99999999994,1140480.0,492479.99999999994,2134080.0,0.0,361319.84478806966,198006.8440553098,295362.97709690756,7819086.259885078,0.0,642661.9229346153,268395.4121830771,436339.74606741243,786559.8054109934,190417.11927162428,7717915.267457799,2857530.781075976,566013.2837415476,1135750.339086658,8908678.284624698,70079304.4707558,6092691.091921912,1698039.8512246425,3248990.724108554,26726034.853874084,27.312647875520735,23.690885296536507,22.62576993247323,23.588151349710312,23.89898653723498,23.879631983761996 
 06/01  20:00:00,18.474999999999998,1140480.0,492480.00000000006,1140480.0,492480.00000000006,2134080.0000000005,1140480.0,492479.99999999994,1140480.0,492479.99999999994,2134080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.285179345455095,22.45327881942481,22.202207876853123,22.407029801651035,22.959277861595922,22.894399404163945 
 06/01  21:00:00,15.137500000000001,1140480.0,492480.00000000006,1140480.0,492480.00000000006,2134080.0000000005,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.820033533330147,22.121915949579897,22.1000335411648,22.05884593177349,22.99536654423966,22.57984288725817 
 06/01  22:00:00,12.837499999999999,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.881945511212567,21.425694623905013,21.494794772312847,21.37605512367059,22.21115092514572,22.21890340608845 
