Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE2-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE3-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE4-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE5-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE1-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE2-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE3-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE4-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE5-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),PLENUM-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE1-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE2-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE3-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE4-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE5-1:Zone Windows Total Heat Gain Energy [J](Hourly),WF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WR-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WL-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WALL-1PF:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PR:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PB:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PL:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),TOP-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),FRONT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),RIGHT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),BACK-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),LEFT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly) 
 06/01  01:00:00,16.300000000000004,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69644147273337,20.276668206542062,20.30020126325255,20.265269056233002,20.358392825195274,20.99574849778393 
 06/01  02:00:00,18.162499999999998,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.124366077631905,20.348302243139834,20.343459777621078,20.340801802090574,20.376990424252618,20.83667581255859 
 06/01  03:00:00,18.2,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79374455029505,20.349726276237,20.345178830641878,20.3451457187064,20.36452142227572,20.743437500184243 
 06/01  04:00:00,18.2625,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.611769593239003,20.346154985952452,20.34416503747938,20.34349902732398,20.355312858900334,20.68106785094963 
 06/01  05:00:00,17.9875,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,47654.604563520086,55543.67549392834,65876.03128907984,132438.2077819225,91031.17891082208,53508.26860063692,148445.9278734512,93744.48909520484,206983.28080229045,76053.68768745475,16345562.631296143,343945.0128971043,281233.4672856144,592107.9098360604,228161.06306236412,20.480553555659505,20.338729260014567,20.347994679484223,20.351093607483595,20.35099771798065,20.635685444979632 
 06/01  06:00:00,16.737500000000004,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,0.0,0.0,0.0,0.0,176966.04237551673,205817.11073590783,222904.2158418419,408002.00720618735,280949.3506601458,197833.34353449475,548837.0512904332,316114.2663224454,642209.3317720455,281189.35104467784,60348653.36848375,1272861.6415174408,948342.798967336,1837139.809741343,843568.0531340333,20.388350288044474,20.31002616687589,20.35829991867117,20.366472551652667,20.351549949180882,20.60657328727766 
 06/01  07:00:00,15.787500000000001,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,0.0,529077.0345488626,1252816.3933807663,74996.63210201936,0.0,434016.2490964525,486388.4030985021,792543.8761733887,1258236.859359508,869721.463677032,452224.6140016503,1255617.8263446873,1098524.291700767,1994977.3142039333,642767.0051251086,154902163.61174655,2957676.088134493,3295572.8751022993,5706943.300468627,1928301.0153753255,20.61853596443299,22.12843415643863,22.142393323356714,22.1342281248824,22.14500847351215,22.07495648745176 
 06/01  08:00:00,16.287499999999998,199584.0,86184.0,199584.0,86184.0,373464.00000000006,60825.600000000006,26265.600000000002,76032.0,26265.600000000002,113817.6,0.0,990366.6516768346,3602277.035515962,5974871.374123786,594012.7436430495,0.0,1006315.8147404403,1014664.3827934051,2940963.9505835967,3229090.8870739993,2315801.383810457,847318.229940889,2360096.178192981,3972486.2999254307,5574523.358308784,1204331.1756688813,412249093.740191,5857505.897374879,11917458.899776287,15946792.229916114,3612993.5270066424,20.917815908357763,22.199556648075138,22.199531648991048,22.199179578659717,22.198919436250637,22.200027417707297 
 06/01  09:00:00,18.074999999999996,3592512.0,1551312.0,3592512.0,1551312.0,6722352.000000001,1216512.0,525312.0,1520640.0000000002,525312.0,2276352.0,0.0,2133341.239963024,6495054.855862294,6066007.517709364,802551.5864717462,0.0,1330662.0321885785,1198211.9596092976,4865441.934251785,2922174.9565652655,2224116.347724789,878778.1316205643,2464922.48944328,6554204.871108959,6318828.45425911,1249046.5364831458,707568757.3915341,6554185.821119375,19662614.613326874,18075992.87324942,3747139.6094494355,21.83449954806803,22.41802113151691,23.480204438675585,23.141845071232176,22.208214408086526,22.76629232827124 
 06/01  10:00:00,19.5875,3792095.9999999995,1637496.0,3792095.9999999995,1637496.0,7095816.000000001,2737152.0,1181952.0,3421440.0,1181952.0,5121792.0,0.0,2781982.3517430834,6063754.704440713,3306513.4289574227,1030881.036009325,0.0,1503811.6791285134,1332388.590305693,4407379.094819358,1904767.4391480852,1347845.418859436,961666.2877464045,2747431.633438089,6303442.642481935,3789563.9231726485,1366859.1681351552,882845427.729352,7312937.089044603,18910327.9274458,10840637.780223398,4100577.504405464,23.049816962570013,23.483241651926907,23.898946325471243,23.883670272682213,22.888129690203783,23.775070233334414 
